1,头部,255,255,2,-0.000024,-0.008718,0.555700,1.000000,-0.000000,-0.000108,0.000000,0.999999,-0.001029,0.000108,0.001029,0.999999,0.000000,-0.000000,-0.012000,0.000000
2,颈前摆,255,1,3,-0.000018,-0.008658,0.497200,1.000000,-0.000000,-0.000108,0.000000,0.999999,-0.001029,0.000108,0.001029,0.999999,0.000000,-0.000000,-0.012000,0.000000
3,颈旋转,4,2,0,-0.000013,-0.008614,0.454200,1.000000,-0.000000,-0.000108,0.000000,0.999999,-0.001029,0.000108,0.001029,0.999999,0.000000,-0.000000,-0.012000,0.000000
4,右大臂前摆,8,5,0,-0.000013,-0.071814,0.454135,0.999766,-0.000000,-0.021610,-0.000022,0.999999,-0.001029,0.021610,0.001029,0.999766,-0.021504,-0.000000,-0.012000,0.000000
5,右大臂侧摆,255,6,4,-0.000013,-0.121114,0.454084,0.999766,-0.000000,-0.021610,-0.000022,0.999999,-0.001029,0.021610,0.001029,0.999766,0.000000,-0.000000,-0.012000,0.000000
6,右臂肘前摆,255,7,5,0.002344,-0.121001,0.345010,0.999476,-0.000000,-0.032357,-0.000033,0.999999,-0.001028,0.032357,0.001029,0.999476,-0.010752,-0.000000,-0.012000,0.000000
7,右手端,255,255,6,0.006874,-0.120857,0.205083,0.999476,-0.000000,-0.032357,-0.000033,0.999999,-0.001028,0.032357,0.001029,0.999476,0.000000,-0.000000,-0.012000,0.000000
8,左大臂前摆,12,9,0,-0.000013,0.054586,0.454265,0.999771,-0.000000,0.021394,0.000022,0.999999,-0.001029,-0.021394,0.001029,0.999771,0.021504,-0.000000,-0.012000,0.000000
9,左大臂侧摆,255,10,8,-0.000013,0.103886,0.454316,0.999771,-0.000000,0.021394,0.000022,0.999999,-0.001029,-0.021394,0.001029,0.999771,0.000000,-0.000000,-0.012000,0.000000
10,左臂肘前摆,255,11,9,-0.002347,0.103998,0.345241,0.999771,-0.000000,0.021394,0.000022,0.999999,-0.001029,-0.021394,0.001029,0.999771,0.000000,-0.000000,-0.012000,0.000000
11,左手端,255,255,10,-0.005343,0.104142,0.205273,0.999771,-0.000000,0.021394,0.000022,0.999999,-0.001029,-0.021394,0.001029,0.999771,0.000000,-0.000000,-0.012000,0.000000
12,右髋前摆,19,13,0,0.000003,-0.061255,0.299946,0.940912,-0.000000,-0.338650,-0.000348,0.999999,-0.000968,0.338650,0.001029,0.940912,-0.345374,-0.000000,-0.012000,0.000000
13,右髋侧摆,255,14,12,0.000003,-0.061255,0.299946,0.940912,-0.001244,-0.338648,-0.000348,0.999989,-0.004640,0.338650,0.004484,0.940902,0.003672,-0.000000,-0.012000,0.000000
14,右髋旋转,255,15,13,0.036984,-0.060748,0.197199,0.940913,0.000000,-0.338648,-0.001670,0.999988,-0.004640,0.338644,0.004932,0.940902,-0.001322,-0.000000,-0.012000,0.000000
